Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
The Vampire Diaries,2009,16+,7.7,88,"Drama, Fantasy",9,Multiple Streaming Platforms
Prison Break,2005,16+,8.3,88,"Drama, Action & Adventure",5,Hulu
The Legend of Korra,2012,7+,8.4,88,"Action & Adventure, Animation",4,Multiple Streaming Platforms
Archer,2009,18+,8.6,88,"Action & Adventure, Comedy",11,Multiple Streaming Platforms
Gravity Falls,2012,7+,8.9,88,"Animation, Comedy",2,Multiple Streaming Platforms
Arrested Development,2003,16+,8.7,88,"Comedy, 2003",5,Multiple Streaming Platforms
The Blacklist,2013,16+,8,88,"Action & Adventure, Thriller",7,Multiple Streaming Platforms
Killing Eve,2018,16+,8.3,88,"Thriller, LGBTQ",3,Multiple Streaming Platforms
Last Week Tonight with John Oliver,2014,18+,8.9,87,"Comedy, 2014",7,Multiple Streaming Platforms
Sacred Games,2018,18+,8.7,87,"Drama, Action & Adventure",2,Netflix
Orange Is the New Black,2013,18+,8.1,87,"Comedy, LGBTQ",7,Netflix
Yellowstone,2018,18+,8.5,87,"Drama, 2018",3,Multiple Streaming Platforms
Silicon Valley,2014,18+,8.5,87,"Comedy, Drama",6,Multiple Streaming Platforms
Euphoria,2019,18+,8.4,87,"Drama, LGBTQ",1,Multiple Streaming Platforms
The X-Files,1993,16+,8.6,87,"Drama, Science-Fiction",11,Multiple Streaming Platforms
The Flash,2014,7+,7.7,87,"Drama, Action & Adventure",6,Multiple Streaming Platforms
Justified,2010,18+,8.6,87,"Action & Adventure, Crime",6,Hulu
The Americans,2013,18+,8.4,87,"Drama, Crime",6,Prime Video
This Is Us,2016,16+,8.7,87,"Drama, Comedy",4,Multiple Streaming Platforms
Adventure Time,2010,7+,8.6,87,"Action & Adventure, Fantasy",11,Multiple Streaming Platforms
BoJack Horseman,2014,18+,8.7,87,"Animation, Comedy",6,Netflix
The Marvelous Mrs. Maisel,2017,18+,8.7,87,"Comedy, Stand-up & Talk",3,Prime Video
The End of the F***ing World,2017,18+,8.1,87,"Action & Adventure, Comedy",2,Netflix
Big Little Lies,2017,18+,8.5,87,"Crime, Drama",2,Multiple Streaming Platforms
Luther,2010,18+,8.5,86,"Crime, Drama",5,Multiple Streaming Platforms
Curb Your Enthusiasm,2000,18+,8.7,86,"Comedy, 2000",10,Multiple Streaming Platforms
American Crime Story,2016,18+,8.4,86,"Biography, Drama",2,Netflix
Unbelievable,2019,18+,8.4,86,"Crime, Drama",1,Netflix
Boardwalk Empire,2010,18+,8.5,86,"Crime, Drama",5,Multiple Streaming Platforms
Orphan Black,2013,18+,8.3,86,"Action & Adventure, Science-Fiction",5,Multiple Streaming Platforms
The Last Kingdom,2015,18+,8.4,86,"Action & Adventure, History",4,Netflix
Rome,2005,18+,8.7,86,"Action & Adventure, Drama",2,Multiple Streaming Platforms
Batman: The Animated Series,1992,7+,9,86,"Action & Adventure, Animation",5,DC Universe
Sense8,2015,18+,8.3,86,"Drama, LGBTQ",2,Netflix
Six Feet Under,2001,18+,8.7,86,"Drama, Comedy",5,Multiple Streaming Platforms
