Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
V,2009,16+,7.4,68,"Drama, Science-Fiction",2,Unknown
Get Shorty,2017,18+,8.2,68,"Comedy, Crime",3,Multiple Streaming Platforms
Gilmore Girls: A Year in the Life,2016,7+,7.7,68,"Comedy, Drama",1,Netflix
Breakout Kings,2011,16+,7.3,68,"Action & Adventure, Crime",2,Hulu
Single Parents,2018,7+,7,68,"Comedy, 2018",2,Multiple Streaming Platforms
The Confession Tapes,2017,16+,7.5,68,"Documentary, Crime",2,Netflix
Prodigal Son,2019,16+,8.1,68,"Crime, Drama",1,Multiple Streaming Platforms
Made In Abyss,2017,18+,8.4,68,"Animation, Anime",1,Prime Video
The Outer Limits,1995,18+,7.7,68,"Science-Fiction, Drama",7,Multiple Streaming Platforms
Bleak House,2005,16+,8.3,68,"Drama, 2005",1,Multiple Streaming Platforms
Gunsmoke,1955,7+,7.9,68,"Action & Adventure, 1955",20,CBS All Access
Claws,2017,18+,7.3,68,"Comedy, Crime",3,Multiple Streaming Platforms
Twisted,2013,16+,7.3,68,"Drama, Mystery",1,Multiple Streaming Platforms
Grand Hotel,2019,16+,7,68,"Drama, Crime",1,Unknown
Ugly Delicious,2018,18+,7.8,68,"Documentary, Food",2,Netflix
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8,68,"Documentary, Crime",1,Multiple Streaming Platforms
Spiral,2005,7+,8.5,68,"Action & Adventure, Drama",8,Multiple Streaming Platforms
That Time I Got Reincarnated as a Slime,2018,16+,8,68,"Action & Adventure, Anime",2,Multiple Streaming Platforms
The Flintstones,1960,All Ages,7.5,68,"Animation, Children",6,HBO MAX
Central Park,2020,16+,6.6,68,"Animation, Comedy",1,Apple TV+
Tacoma FD,2019,16+,8,68,"Comedy, 2019",2,Multiple Streaming Platforms
Briarpatch,2020,18+,6.5,68,"Crime, Drama",1,Multiple Streaming Platforms
The Powerpuff Girls,1998,7+,7.2,68,"Action & Adventure, Animation",7,Multiple Streaming Platforms
The Client List,2012,16+,6.6,68,"Drama, 2012",2,Free Services
Animaniacs,1993,All Ages,7.9,68,"Animation, Children",5,Hulu
Reply 1988,2015,16+,9,68,"Crime, Drama",1,Netflix
The Blacklist: Redemption,2017,16+,7.1,68,"Action & Adventure, Crime",1,Free Services
Numb3rs,2006,7+,6.9,68,"Crime, Drama",6,Hulu
The Mick,2017,16+,7.8,68,"Comedy, 2017",2,Multiple Streaming Platforms
Highlander: The Series,1992,16+,7.2,68,"Action & Adventure, Science-Fiction",6,Multiple Streaming Platforms
Club de Cuervos,2015,18+,8.2,68,"Drama, Comedy",4,Netflix
Unforgettable,2011,16+,6.7,68,"Crime, Drama",4,Free Services
Enlightened,2011,18+,7.5,68,"Comedy, Drama",2,Multiple Streaming Platforms
White Gold,2017,18+,7.4,68,"Documentary, Comedy",2,Netflix
The King: Eternal Monarch,2020,16+,8.3,68,"Fantasy, Mystery",1,Netflix
The Untamed,2019,7+,8.9,68,"Action & Adventure, Drama",1,Netflix
Jean-Claude Van Johnson,2016,7+,7.6,68,"Action & Adventure, Comedy",1,Prime Video
The Trials of Gabriel Fernandez,2020,18+,8.2,68,"Documentary, Crime",1,Netflix
Drunk History,2013,16+,7.8,68,"Comedy, History",6,Multiple Streaming Platforms
ThunderCats,2011,7+,7.8,68,"Action & Adventure, Animation",1,Hulu
The Civil War,1990,16+,9,68,"Documentary, History",1,Unknown
Strike,2017,16+,7.9,68,"Crime, Drama",3,Cinemax
Hellcats,2010,16+,6.7,68,"Comedy, Drama",1,Free Services
Nisekoi,2014,7+,7.2,68,"Animation, Comedy",2,Multiple Streaming Platforms
Saving Grace,2007,18+,7.6,68,"Drama, Science-Fiction",3,Hulu
The Purge,2018,18+,6.4,68,"Action & Adventure, Crime",2,Hulu
Helix,2014,16+,6.8,68,"Drama, Science-Fiction",2,Unknown
Rules of Engagement,2007,16+,7.3,68,"Comedy, Romance",7,Unknown
Agatha Christie's Marple,2004,16+,7.8,68,"Action & Adventure, Crime",6,Multiple Streaming Platforms
Being Mary Jane,2014,16+,7.5,68,"Drama, Romance",5,Multiple Streaming Platforms
Friends from College,2017,18+,6.8,68,"Comedy, Drama",2,Netflix
State of the Union,2019,18+,7.9,68,"Comedy, Drama",1,Unknown
The League of Gentlemen,1999,18+,8.4,68,"Comedy, Horror",4,Multiple Streaming Platforms
Rilakkuma and Kaoru,2019,7+,8.4,68,"Animation, Anime",1,Netflix
Anthony Bourdain: No Reservations,2005,7+,8.4,67,"Documentary, Food",14,Multiple Streaming Platforms
Shark Tank,2009,7+,7.6,67,"Reality, Family",11,Multiple Streaming Platforms
Darker than Black,2007,16+,7.8,67,"Action & Adventure, Anime",2,Multiple Streaming Platforms
CSI: Miami,2002,16+,6.4,67,"Action & Adventure, Crime",10,Multiple Streaming Platforms
FlashForward,2009,16+,7.5,67,"Drama, Science-Fiction",1,Free Services
The Bold Type,2017,16+,8,67,"Drama, Comedy",4,Multiple Streaming Platforms
Detroiters,2017,16+,7.7,67,"Comedy, 2017",2,Multiple Streaming Platforms
Cable Girls,2017,16+,7.7,67,"Drama, 2017",5,Netflix
Paranoia Agent,2004,18+,8.1,67,"Animation, Anime",1,Funimation
Jackass,2000,18+,7.3,67,"Action & Adventure, Comedy",4,Unknown
Ergo Proxy,2006,16+,8,67,"Action & Adventure, Anime",1,Multiple Streaming Platforms
Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,67,"Drama, 2020",1,Netflix
Comedians in Cars Getting Coffee,2012,16+,8.1,67,"Comedy, Stand-up & Talk",11,Multiple Streaming Platforms
Bull,2016,16+,7,67,"Drama, Comedy",4,Multiple Streaming Platforms
Kamisama Kiss,2012,7+,8.1,67,"Animation, Anime",2,Multiple Streaming Platforms
That's So Raven,2003,All Ages,6.6,67,"Children, Comedy",4,Multiple Streaming Platforms
Awkwafina is Nora From Queens,2020,16+,6.9,67,"Comedy, 2020",1,Multiple Streaming Platforms
Surviving R. Kelly,2019,18+,7.6,67,"Documentary, Crime",2,Multiple Streaming Platforms
Ben 10: Ultimate Alien,2010,7+,7.5,67,"Action & Adventure, Animation",3,HBO MAX
November 13: Attack on Paris,2018,18+,8.3,67,"Documentary, 2018",1,Netflix
Forensic Files,1996,16+,8.8,67,"Documentary, Crime",15,Multiple Streaming Platforms
Harley and the Davidsons,2016,16+,8.2,67,"Documentary, Drama",1,Unknown
RUN,2020,18+,6.2,67,"Comedy, Romance",1,Multiple Streaming Platforms
Roadies,2016,18+,7.4,67,"Comedy, Drama",1,Free Services
Ouran High School Host Club,2006,16+,8.2,67,"Animation, Anime",1,Multiple Streaming Platforms
Magi,2012,16+,7.8,67,"Action & Adventure, Anime",2,Multiple Streaming Platforms
Dallas,2012,16+,7.1,67,"Drama, Romance",3,Unknown
Junjo Romantica,2008,18+,7.6,67,"Animation, Anime",3,Multiple Streaming Platforms
Danny Phantom,2004,7+,7.1,67,"Action & Adventure, Animation",3,Multiple Streaming Platforms
Clone High,2002,16+,8.1,67,"Animation, Comedy",1,Multiple Streaming Platforms
Dororo,2019,18+,8.4,67,"Animation, Anime",1,Prime Video
Good Girls Revolt,2015,7+,8.2,67,"Drama, 2015",1,Prime Video
Dispatches from Elsewhere,2020,16+,6.6,67,"Drama, Mystery",1,Multiple Streaming Platforms
Famous in Love,2017,16+,6.9,67,"Drama, Romance",2,Free Services
Howards End,2017,7+,7.3,67,"Drama, Romance",1,Multiple Streaming Platforms
Slasher,2016,18+,6.7,67,"Crime, Drama",3,Multiple Streaming Platforms
Deadliest Catch,2005,7+,7.8,67,"Documentary, Action & Adventure",16,Multiple Streaming Platforms
Room 104,2017,18+,6.1,67,"Comedy, Drama",4,Multiple Streaming Platforms
Life,2009,All Ages,9.1,67,"Documentary, 2009",1,Unknown
Undateable,2014,16+,7.3,67,"Comedy, 2014",3,Free Services
Z Nation,2014,18+,6.7,67,"Drama, Action & Adventure",5,Netflix
Chesapeake Shores,2016,7+,7.6,67,"Drama, Family",4,Multiple Streaming Platforms
The Munsters,1964,All Ages,7.8,67,"Comedy, Drama",2,Unknown
The Invisible Man,2000,16+,8.9,67,"Comedy, Science-Fiction",2,Free Services
Ace of Diamond,2013,7+,8.1,67,"Animation, Anime",3,Multiple Streaming Platforms
Truth Be Told,2019,18+,7.1,67,"Crime, Drama",1,Apple TV+
Immigration Nation,2020,16+,7.2,67,"Documentary, 2020",1,Netflix
Black Lagoon,2006,18+,8,67,"Action & Adventure, Anime",3,Multiple Streaming Platforms
The Grinder,2015,16+,7.1,67,"Comedy, 2015",1,Free Services
Virgin River,2019,16+,7.5,67,"Drama, Romance",1,Netflix
How the Universe Works,2010,7+,8.9,67,"Documentary, 2010",8,Multiple Streaming Platforms
Ink Master,2012,16+,7.4,67,"Reality, 2012",13,Unknown
Third Watch,1999,16+,7.9,67,"Action & Adventure, Crime",6,Unknown
Long Way Down,2007,7+,8.3,67,"Documentary, Reality",1,Unknown
The Batman,2004,7+,7.3,67,"Action & Adventure, Animation",5,DC Universe
Forever,2018,18+,7.2,67,"Comedy, Drama",1,Prime Video
Bar Rescue,2011,7+,7.6,67,"Reality, 2011",11,fuboTV
Selena + Chef,2020,7+,8,67,"Reality, Food",1,HBO MAX
The Dead Zone,2002,7+,7.4,67,"Drama, Fantasy",6,Multiple Streaming Platforms
Secrets and Lies,2015,16+,7.6,67,"Crime, Drama",2,Free Services
Lewis,2007,16+,8,67,"Crime, Drama",9,Prime Video
Tales of the City,1993,7+,8.3,67,"Comedy, Drama",1,Multiple Streaming Platforms
Stan Lee's Lucky Man,2016,16+,7.2,67,"Action & Adventure, Crime",3,Shudder
Taken,2017,16+,6.6,67,"Action & Adventure, Drama",2,Multiple Streaming Platforms
The Enfield Haunting,2015,16+,7.1,67,"Mystery, Biography",1,Unknown
Night Court,1984,7+,7.6,67,"Comedy, 1984",9,Unknown
Family Ties,1982,All Ages,7.2,67,"Comedy, Family",7,Multiple Streaming Platforms
Top Chef,2006,16+,7.6,67,"Reality, Food",17,Multiple Streaming Platforms
Army Wives,2007,16+,7.2,67,"Drama, Romance",7,Free Services
Devious Maids,2013,7+,7.8,67,"Comedy, Drama",4,Hulu
The Pet Girl of Sakurasou,2012,16+,7.8,67,"Animation, Anime",1,Free Services
Trial by Media,2020,16+,7.2,67,"Documentary, Crime",1,Netflix
The Universe,2007,16+,8.8,67,"Documentary, History",9,Multiple Streaming Platforms
The Black Donnellys,2007,16+,8.1,67,"Crime, Drama",1,Free Services
The Heirs,2013,16+,7.5,67,"Comedy, Drama",1,Netflix
Visible: Out On Television,2020,18+,8.2,67,"Documentary, LGBTQ",1,Apple TV+
Holey Moley,2019,7+,7,67,"Reality, Sport",2,Multiple Streaming Platforms
Ben 10: Omniverse,2012,7+,5.8,67,"Animation, Action & Adventure",8,Multiple Streaming Platforms
Afro Samurai,2007,18+,7.7,67,"Animation, Drama",1,Multiple Streaming Platforms
Superman: The Animated Series,1996,7+,8.1,67,"Action & Adventure, Animation",4,DC Universe
Tuca & Bertie,2019,16+,7.4,67,"Animation, Comedy",1,Netflix
The Comeback,2005,18+,8,67,"Comedy, Romance",2,Multiple Streaming Platforms
Ringer,2011,16+,6.9,67,"Crime, Drama",1,Unknown
NOVA,1974,7+,8.7,67,"Documentary, 1974",44,Multiple Streaming Platforms
Melissa & Joey,2010,7+,7,67,"Comedy, Romance",4,Multiple Streaming Platforms
Ben 10: Alien Force,2008,7+,7.1,67,"Action & Adventure, Fantasy",3,HBO MAX
The Naked Director,2019,18+,7.8,67,"Comedy, Biography",1,Netflix
The Carol Burnett Show,1967,All Ages,8.8,67,"Comedy, Family",11,Multiple Streaming Platforms
Tut,2015,16+,7.1,67,"Drama, History",1,Free Services
The Boat,2011,All Ages,7.3,67,"Action & Adventure, Mystery",3,Netflix
What's Wrong with Secretary Kim,2018,All Ages,8.1,67,"Comedy, Mystery",1,Hulu
Seraph of the End,2015,16+,7.5,67,"Action & Adventure, Animation",2,Multiple Streaming Platforms
9-1-1: Lone Star,2020,16+,6.5,67,"Action & Adventure, Crime",1,Multiple Streaming Platforms
Real Time with Bill Maher,2003,18+,7.4,67,"Comedy, 2003",18,Multiple Streaming Platforms
H2O: Just Add Water,2006,All Ages,7.2,67,"Drama, Family",3,Multiple Streaming Platforms
Mystery Road,2018,18+,7.6,67,"Crime, Drama",2,Multiple Streaming Platforms
Wet Hot American Summer: First Day of Camp,2015,16+,7.4,67,"Comedy, 2015",1,Netflix
Kitchen Nightmares,2007,16+,7.4,67,"Reality, Food",7,Multiple Streaming Platforms
Dark Tourist,2018,18+,7.5,67,"Documentary, Action & Adventure",1,Netflix
The Baker and the Beauty,2020,16+,7.3,67,"Comedy, Drama",1,Multiple Streaming Platforms
Ugly Americans,2010,16+,8,67,"Animation, Comedy",2,Multiple Streaming Platforms
Bluey,2018,All Ages,9.7,67,"Animation, Family",3,Multiple Streaming Platforms
Transplant,2020,16+,7.6,67,"Drama, 2020",1,Multiple Streaming Platforms
Political Animals,2012,7+,7.7,67,"Drama, 2012",1,Unknown
90210,2008,16+,6.1,67,"Drama, Comedy",5,Multiple Streaming Platforms
Workin' Moms,2017,7+,7.5,67,"Comedy, 2017",4,Netflix
Better Late Than Never,2016,7+,8.5,67,"Action & Adventure, Comedy",2,Multiple Streaming Platforms
Sirens,2014,16+,7.8,67,"Comedy, 2014",2,Unknown
The Hollow,2018,7+,7.2,67,"Animation, Children",2,Netflix
Oliver Stone's Untold History of the United States,2012,All Ages,8.6,67,"Documentary, History",1,Netflix
Sekirei,2008,18+,7.4,67,"Action & Adventure, Anime",2,Free Services
Human Planet,2011,All Ages,9,67,"Documentary, 2011",1,Unknown
Clannad,2007,7+,7.9,67,"Animation, Anime",2,Multiple Streaming Platforms
Perception,2012,16+,7.5,67,"Crime, Drama",3,Unknown
Apple Tree Yard,2017,18+,7.1,67,"Crime, Drama",1,Multiple Streaming Platforms
Felicity,1998,16+,6.8,67,"Drama, Romance",4,Free Services
What I Like About You,2002,7+,6.6,67,"Comedy, Drama",4,Unknown
Good Luck Charlie,2010,All Ages,7,67,"Children, Comedy",4,Multiple Streaming Platforms
How to Make It in America,2010,18+,7.9,67,"Comedy, Drama",2,Multiple Streaming Platforms
Pinky and the Brain,1995,All Ages,7.8,67,"Animation, Children",4,Hulu
Magnum P.I.,2018,16+,5.7,67,"Drama, Action & Adventure",2,Multiple Streaming Platforms
The Unicorn,2019,7+,7,67,"Comedy, Drama",1,Multiple Streaming Platforms
Still Game,2002,16+,8.9,67,"Comedy, 2002",9,Netflix
Tabula Rasa,2017,18+,8.1,67,"Thriller, Drama",1,Netflix
The Other Two,2019,18+,7.3,67,"Comedy, 2019",1,fuboTV
The Real Housewives of Beverly Hills,2010,16+,4.9,67,"Reality, Documentary",10,Multiple Streaming Platforms
Criminal: UK,2019,18+,7.4,67,"Drama, Crime",1,Netflix
Remington Steele,1982,7+,7.2,67,"Drama, Action & Adventure",5,Hulu
The Chicago Code,2011,7+,7.7,67,"Action & Adventure, Crime",1,Unknown
Cardcaptor Sakura,1998,7+,8,66,"Animation, Anime",4,Multiple Streaming Platforms
Sense and Sensibility,2008,16+,8,66,"Drama, Romance",1,Multiple Streaming Platforms
Clannad After Story,2009,7+,8.6,66,"Animation, Comedy",1,Hulu
My Boys,2006,7+,7.3,66,"Comedy, Romance",4,Free Services
Mystery Science Theater 3000: The Return,2017,16+,8,66,"Comedy, Science-Fiction",2,Netflix
Just Add Magic,2015,7+,8.2,66,"Family, Comedy",4,Prime Video
The Brink,2015,18+,7.8,66,"Comedy, 2015",1,Multiple Streaming Platforms
Borgia,2011,18+,7.8,66,"Action & Adventure, Drama",3,Netflix
Vicious,2013,16+,8.1,66,"Comedy, LGBTQ",2,Free Services
Grand Designs,1999,7+,8.5,66,"Documentary, Home & Garden",17,Multiple Streaming Platforms
World’s Toughest Race: Eco-Challenge Fiji,2020,16+,7.8,66,"Action & Adventure, Reality",1,Prime Video
The Chi,2018,18+,7.4,66,"Drama, 2018",3,Multiple Streaming Platforms
The Twilight Zone,1985,7+,7.8,66,"Science-Fiction, Fantasy",5,Multiple Streaming Platforms
Codename: Kids Next Door,2002,7+,7.2,66,"Action & Adventure, Animation",6,Hoopla
Crazyhead,2016,16+,7.3,66,"Comedy, Horror",1,Netflix
Reprisal,2019,18+,7.5,66,"Crime, Drama",1,Hulu
The Innocent Man,2018,18+,7.4,66,"Crime, Documentary",1,Netflix
Undercover,2019,18+,7.9,66,"Drama, Crime",1,Netflix
Secret Diary of a Call Girl,2007,18+,7.4,66,"Drama, Comedy",4,Multiple Streaming Platforms
The Larry Sanders Show,1992,18+,8.4,66,"Comedy, 1992",6,Multiple Streaming Platforms
Conan,2010,16+,8.1,66,"Comedy, 2010",15,Multiple Streaming Platforms
The Facts of Life,1979,7+,6.7,66,"Comedy, Family",9,Free Services
Father Brown,2013,7+,7.7,66,"Drama, Crime",8,Multiple Streaming Platforms
Summer Heights High,2007,16+,8.4,66,"Comedy, Drama",1,Unknown
Berlin Station,2016,18+,7.6,66,"Action & Adventure, Thriller",3,Epix
NYPD Blue,1993,16+,7.5,66,"Crime, Drama",12,Multiple Streaming Platforms
American Housewife,2016,7+,7.3,66,"Drama, Comedy",4,Multiple Streaming Platforms
Good Witch,2015,All Ages,7.3,66,"Drama, Romance",6,Netflix
Death Parade,2015,18+,7.9,66,"Action & Adventure, Anime",1,Funimation
SMILF,2017,18+,6.7,66,"Comedy, Drama",2,Multiple Streaming Platforms
Shaun the Sheep,2007,All Ages,8.2,66,"Animation, Children",5,Prime Video
About a Boy,2014,7+,7.4,66,"Comedy, Drama",2,Free Services
Cleverman,2016,16+,6.4,66,"Drama, Fantasy",2,Netflix
The New Adventures of Old Christine,2006,7+,7.1,66,"Comedy, 2006",5,Unknown
Lovesick,2014,18+,8.1,66,"Comedy, 2014",3,Netflix
White Lines,2020,18+,6.6,66,"Drama, Crime",1,Netflix
Klondike,2014,16+,7.4,66,"Action & Adventure, Drama",1,Prime Video
Metalocalypse,2006,18+,8.2,66,"Animation, Comedy",5,Multiple Streaming Platforms
Outsourced,2010,16+,7.5,66,"Comedy, Family",1,Multiple Streaming Platforms
The Honourable Woman,2014,18+,8.1,66,"Drama, Thriller",1,HBO MAX
Angel Beats!,2010,16+,7.7,66,"Action & Adventure, Anime",1,Multiple Streaming Platforms
Gangland Undercover,2015,16+,8.2,66,"Drama, Biography",2,Multiple Streaming Platforms
The World According to Jeff Goldblum,2019,7+,7.8,66,"Documentary, Comedy",1,Disney+
G.I. Joe,1983,7+,7.7,66,"Animation, Children",4,Free Services
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,66,"Animation, Anime",2,Multiple Streaming Platforms
Baccano!,2007,18+,8.3,66,"Action & Adventure, Anime",1,Unknown
1000 Ways to Die,2009,16+,6.9,66,"Documentary, Reality",6,Unknown
Baptiste,2019,16+,7.2,66,"Crime, Drama",1,Free Services
Beyond,2017,16+,7,66,"Drama, Science-Fiction",2,Free Services
GATE,2015,16+,7.5,66,"Fantasy, Anime",2,Free Services
Gargoyles,1994,7+,8.1,66,"Action & Adventure, Animation",3,Disney+
Megas XLR,2004,7+,8.3,66,"Action & Adventure, Animation",2,Unknown
Inside Edge,2017,18+,8,66,"Drama, Sport",2,Prime Video
60 Days In,2016,16+,7.7,66,"Comedy, Documentary",6,Multiple Streaming Platforms
Alexa & Katie,2018,7+,7.4,66,"Comedy, Drama",4,Netflix
Wolf Creek,2016,18+,7.2,66,"Drama, Horror",2,Shudder
NCIS: New Orleans,2014,16+,6.8,66,"Action & Adventure, Mystery",6,Multiple Streaming Platforms
Patriot Act with Hasan Minhaj,2018,18+,8.2,66,"Comedy, 2018",6,Netflix
Treadstone,2019,18+,7,66,"Action & Adventure, Crime",1,Unknown
Recess,1997,7+,7.8,66,"Animation, Children",6,Disney+
Van Helsing,2016,16+,6.2,66,"Drama, Fantasy",4,Multiple Streaming Platforms
Barney Miller,1975,7+,8.1,66,"Comedy, Drama",8,Free Services
Monogatari,2009,16+,8,66,"Animation, Anime",6,Multiple Streaming Platforms
Jeopardy!,1964,All Ages,8.2,66,"Game Show, 1964",75,Multiple Streaming Platforms
Spawn,1997,18+,8.1,66,"Animation, Action & Adventure",3,Multiple Streaming Platforms
The Roosevelts: An Intimate History,2014,16+,8.8,66,"Documentary, Biography",1,Unknown
The First,2018,18+,6.7,66,"Drama, Science-Fiction",1,Hulu
Yes Minister,1980,7+,8.6,66,"Comedy, 1980",3,BritBox
Adam Ruins Everything,2015,16+,8,66,"Comedy, Animation",5,Multiple Streaming Platforms
Childhood's End,2015,16+,6.9,66,"Science-Fiction, Drama",1,Unknown
Carole & Tuesday,2019,7+,7.9,66,"Animation, Anime",1,Netflix
The Living and the Dead,2016,16+,7.5,66,"Drama, Horror",1,Prime Video
Night Gallery,1970,7+,8,66,"Drama, Fantasy",3,Free Services
Saving Hope,2012,16+,7.5,66,"Drama, Fantasy",5,Hulu
SS-GB,2017,18+,6.6,66,"Action & Adventure, Drama",1,Starz
The First 48,2004,18+,8.2,66,"Crime, Reality",20,Multiple Streaming Platforms
Alpha House,2013,16+,7.5,66,"Comedy, Drama",2,Prime Video
The Dresden Files,2007,7+,7.7,66,"Action & Adventure, Crime",1,Free Services
8 Simple Rules... for Dating My Teenage Daughter,2002,7+,7,66,"Comedy, Drama",3,Free Services
The Penguins of Madagascar,2009,7+,7.6,66,"Animation, Children",3,Hulu
Love 101,2020,18+,7.6,66,"Comedy, Romance",1,Netflix
Andromeda,2000,7+,6.6,66,"Action & Adventure, Drama",5,Free Services
Maron,2013,18+,7.7,66,"Comedy, 2013",4,Unknown
The Future Diary,2011,18+,7.6,66,"Action & Adventure, Anime",1,Multiple Streaming Platforms
Anger Management,2012,16+,6.6,66,"Comedy, Romance",2,Free Services
Ju-On: Origins,2020,18+,6.2,66,"Horror, Mystery",1,Netflix
Aaahh!!! Real Monsters,1994,7+,7.2,66,"Animation, Children",4,Unknown
The Returned,2015,18+,7.1,66,"Horror, Mystery",2,Unknown
Land of Honor,2014,16+,7.8,66,"Drama, 2014",2,Hulu
Outsiders,2016,18+,7.5,66,"Drama, Crime",2,Unknown
Lucha Underground,2014,16+,8.9,66,"Action & Adventure, Sport",4,Free Services
The Kids Are Alright,2018,7+,7.8,66,"Comedy, 2018",1,Hulu
Power Rangers,1993,7+,6.5,66,"Action & Adventure, Children",27,Multiple Streaming Platforms
This Is England '86,2010,18+,8.3,66,"Crime, Drama",3,Multiple Streaming Platforms
Johnny Bravo,1997,All Ages,7.2,66,"Animation, Children",4,Hoopla
Murder in the First,2014,18+,7.2,66,"Crime, Drama",3,Multiple Streaming Platforms
Without a Trace,2002,7+,6.9,66,"Action & Adventure, Crime",7,Unknown
Scott & Bailey,2011,7+,7.9,66,"Crime, Drama",5,Multiple Streaming Platforms
Difficult People,2015,18+,7,66,"Comedy, 2015",3,Hulu
Below Deck Mediterranean,2016,16+,7.3,66,"Reality, 2016",5,Multiple Streaming Platforms
Wormwood,2017,16+,7,66,"Documentary, Crime",1,Netflix
Requiem,2018,18+,6.5,66,"Drama, Cult",1,Netflix
My Wife and Kids,2001,7+,6.8,66,"Comedy, Family",5,Unknown
The Suite Life of Zack & Cody,2005,All Ages,6.5,66,"Children, Comedy",3,Disney+
The Bugs Bunny Show,1960,All Ages,8.6,66,"Animation, Comedy",3,Unknown
Romanzo Criminale,2008,16+,8.5,66,"Action & Adventure, Drama",2,Prime Video
Doctor Thorne,2016,16+,7.2,66,"Drama, 2016",1,Prime Video
Cracker,1993,18+,8.4,66,"Crime, Drama",4,Multiple Streaming Platforms
Girl Meets World,2014,All Ages,7.2,66,"Children, Comedy",3,Disney+
Bless This Mess,2019,7+,6.8,66,"Comedy, 2019",2,Multiple Streaming Platforms
Rillington Place,2016,18+,7.1,66,"Crime, Drama",1,Shudder
Intervention,2005,16+,7.9,66,"Documentary, Reality",21,Multiple Streaming Platforms
MasterChef,2010,16+,7.3,66,"Reality, Food",11,Multiple Streaming Platforms
Unsolved Mysteries,1987,7+,8.3,66,"Documentary, Crime",15,Multiple Streaming Platforms
Mortal Kombat: Legacy,2011,18+,7.5,66,"Action & Adventure, Fantasy",2,Unknown
The Pink Panther Show,1964,All Ages,7.6,66,"Animation, Comedy",5,Multiple Streaming Platforms
Atlantis,2013,7+,6.6,66,"Action & Adventure, Drama",2,Multiple Streaming Platforms
Terror in Resonance,2014,16+,7.9,66,"Animation, Anime",1,Funimation
Another Period,2015,16+,7.2,66,"Comedy, History",3,Multiple Streaming Platforms
The Incredible Hulk,1978,7+,7,66,"Action & Adventure, Fantasy",5,Multiple Streaming Platforms
Fresh Meat,2011,18+,7.9,66,"Comedy, Drama",4,Prime Video
Copper,2012,18+,7.5,66,"Action & Adventure, Drama",2,Unknown
The Waltons,1972,All Ages,7.6,66,"Drama, Family",9,Unknown
Alcatraz,2012,16+,7,66,"Action & Adventure, Crime",1,Free Services
Death Comes to Pemberley,2013,7+,7.1,66,"Drama, Mystery",1,Unknown
Tyler Perry's The Haves and the Have Nots,2013,16+,6,66,"Crime, Drama",7,Multiple Streaming Platforms
Eyewitness,2016,16+,7.7,66,"Crime, Mystery",1,Multiple Streaming Platforms
A Place to Call Home,2013,16+,8.3,66,"Drama, 2013",6,Multiple Streaming Platforms
The Real O'Neals,2016,7+,7.1,66,"Comedy, LGBTQ",2,Unknown
The River,2012,16+,6.8,66,"Action & Adventure, Drama",1,Free Services
Humsafar,2011,All Ages,9,66,"Drama, Romance",1,Netflix
The Curse of Oak Island,2014,7+,7.1,66,"Reality, Documentary",7,Multiple Streaming Platforms
JAG,1995,7+,6.6,66,"Drama, Action & Adventure",10,CBS All Access
Amphibia,2019,7+,7.8,66,"Animation, Action & Adventure",2,Multiple Streaming Platforms
La Femme Nikita,1997,16+,7.5,66,"Action & Adventure, Drama",5,Unknown
The Ultimate Fighter,2005,16+,7.8,66,"Reality, Sport",28,Hulu
Taxi,1978,7+,7.6,66,"Comedy, 1978",5,Multiple Streaming Platforms
Clique,2017,7+,7,66,"Drama, Thriller",2,Hulu
Time After Time,2017,16+,6.7,66,"Drama, Science-Fiction",1,Multiple Streaming Platforms
The Messengers,2015,16+,6.5,66,"Drama, Mystery",1,Netflix
Log Horizon,2013,16+,7.7,66,"Action & Adventure, Anime",2,Multiple Streaming Platforms
Velvet,2014,16+,8.1,66,"Drama, Action & Adventure",4,Multiple Streaming Platforms
Schooled,2019,7+,6.9,66,"Comedy, 2019",2,Multiple Streaming Platforms
Buck Rogers in the 25th Century,1979,7+,6.9,66,"Action & Adventure, Science-Fiction",2,Free Services
Darkwing Duck,1991,7+,7.6,66,"Animation, Children",3,Disney+
VICE,2013,18+,8.9,66,"Documentary, Drama",7,HBO
Shadows,2014,18+,8.8,66,"Crime, Drama",3,Multiple Streaming Platforms
DAKAICHI -I'm being harassed by the sexiest man of the year-,2018,16+,6.7,66,"Animation, Anime",3,Multiple Streaming Platforms
According to Jim,2001,7+,6.4,66,"Comedy, Romance",8,Unknown
Jericho,2006,16+,7.2,66,"Action & Adventure, Drama",2,Multiple Streaming Platforms
From Dusk Till Dawn: The Series,2014,18+,6.9,66,"Drama, Horror",3,Netflix
La Reina del Sur,2011,18+,8.1,66,"Action & Adventure, Crime",2,Multiple Streaming Platforms
War of the Worlds,2019,16+,6.2,66,"Drama, Mystery",1,Multiple Streaming Platforms
Kings,2009,16+,8.2,66,"Drama, Science-Fiction",1,Free Services
The Disastrous Life of Saiki K.,2016,16+,8.3,66,"Animation, Comedy",3,Multiple Streaming Platforms
Damnation,2017,18+,7.7,66,"Drama, Crime",1,Netflix
